InningNumber,OverNumber,BallNumber,IsWicket,IsWide,IsNoBall,IsByes,IsLegByes,IsFreeHit,IsPowerPlay,IsBattingPowerPlay,TeamRuns,RunsByes,RunsConceded,RunsWide,RunsLegByes,TotalRuns
1,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,119
1,9,6,0,0,0,0,0,0,0,0,1,0,1,0,0,119
1,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,119
1,10,2,0,0,0,0,0,0,0,0,1,0,1,0,0,119
1,10,3,0,0,0,0,0,0,0,0,2,0,2,0,0,119
1,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,119
1,10,5,0,0,0,0,0,0,0,0,1,0,1,0,0,119
1,10,6,0,0,0,0,0,0,0,0,1,0,1,0,0,119
1,11,1,0,0,0,0,0,0,0,0,2,0,2,0,0,119
1,11,2,0,0,0,0,0,0,0,0,2,0,2,0,0,119
1,11,3,0,0,0,0,0,0,0,0,1,0,1,0,0,119
1,11,4,0,0,0,0,0,0,0,0,1,0,1,0,0,119
1,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,119
1,11,6,0,0,0,0,0,0,0,0,2,0,2,0,0,119
1,12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,119
1,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,119
1,12,3,0,0,0,0,0,0,0,0,1,0,1,0,0,119
1,12,4,0,0,0,0,0,0,0,0,4,0,4,0,0,119
1,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,119
1,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,119
1,13,1,0,0,0,0,0,0,0,0,2,0,2,0,0,119
1,13,3,0,1,0,0,0,0,0,0,0,0,5,5,0,119
1,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,119
1,13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,119
1,13,5,0,0,0,0,0,0,0,0,1,0,1,0,0,119
1,13,6,0,0,0,0,0,0,0,0,1,0,1,0,0,119
1,14,4,0,0,0,0,0,0,0,0,3,0,3,0,0,119
1,14,5,0,0,0,0,0,0,0,0,1,0,1,0,0,119
1,14,6,0,0,0,0,0,0,0,0,1,0,1,0,0,119
1,14,1,0,0,0,0,0,0,0,0,2,0,2,0,0,119
1,14,3,0,0,0,0,0,0,0,0,1,0,1,0,0,119
1,15,1,0,0,0,0,0,0,0,0,1,0,1,0,0,119
1,15,2,0,0,0,0,1,0,0,0,0,0,0,0,1,119
1,15,3,0,0,0,0,0,0,0,0,1,0,1,0,0,119
1,15,4,0,0,0,0,0,0,0,0,0,0,0,0,0,119
1,15,5,0,0,0,0,0,0,0,0,1,0,1,0,0,119
1,15,6,0,0,0,0,0,0,0,0,0,0,0,0,0,119
1,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,119
1,16,2,0,0,0,0,0,0,0,0,1,0,1,0,0,119
1,16,3,0,0,0,0,0,0,0,0,0,0,0,0,0,119
1,16,4,0,0,0,0,0,0,0,0,4,0,4,0,0,119
